Clt,Joueur,Nation,Pos,Équipe,Comp,Âge,Naissance,90,Buts,Tirs,TC,TC%,Tir/90,TC/90,B/Tir,B/TC,Dist,CF,PénM,PénT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matchs
27,Jean-Eudes Aholou\48b28bfd,ci CIV,MT,Strasbourg,fr Ligue 1,27-279,1994,4.7,0,4,0,0.0,0.86,0.00,0.00,,24.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matchs
28,Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,es La Liga,26-086,1995,9.6,0,2,0,0.0,0.21,0.00,0.00,,8.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matchs
29,Ola Aina\246d153b,ng NGA,DF,Torino,it Serie A,25-077,1996,11.8,0,8,2,25.0,0.68,0.17,0.00,0.00,22.3,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matchs
30,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,eng Premier League,20-201,2001,8.0,0,6,2,33.3,0.75,0.25,0.00,0.00,15.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matchs
31,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,eng Premier League,23-251,1998,6.3,0,2,0,0.0,0.32,0.00,0.00,,9.9,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matchs
32,Ludovic Ajorque\462475ed,re REU,AT,Strasbourg,fr Ligue 1,27-302,1994,14.9,9,31,16,51.6,2.08,1.08,0.23,0.44,14.1,0,2,2,6.3,4.8,0.16,+2.7,+2.2,Matchs
33,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,de Bundesliga,26-158,1995,14.0,0,10,2,20.0,0.71,0.14,0.00,0.00,12.3,1,0,0,1.1,1.1,0.11,-1.1,-1.1,Matchs
34,Carlos Akapo\f2a68b97,gq EQG,DF,Cádiz,es La Liga,28-287,1993,7.6,0,4,1,25.0,0.52,0.13,0.00,0.00,18.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matchs
35,Nathan Aké\eaeca114,nl NED,DF,Manchester City,eng Premier League,26-309,1995,4.5,1,2,1,50.0,0.45,0.22,0.50,1.00,6.0,0,0,0,0.3,0.3,0.14,+0.7,+0.7,Matchs
36,Ilias Akhomach\b8bd60fe,es ESP,AT,Barcelona,es La Liga,17-252,2004,0.5,0,2,0,0.0,4.00,0.00,0.00,,23.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matchs
37,Maghnes Akliouche\b625b241,fr FRA,MT,Monaco,fr Ligue 1,19-302,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
38,Paul Akouokou\31f5b89b,ci CIV,MT,Betis,es La Liga,24-004,1997,2.0,0,2,0,0.0,1.01,0.00,0.00,,21.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matchs
39,Jean-Daniel Akpa-Akpro\fdf4b948,ci CIV,MT,Lazio,it Serie A,29-074,1992,3.4,0,2,0,0.0,0.60,0.00,0.00,,17.1,0,0,0,0.4,0.4,0.20,-0.4,-0.4,Matchs
40,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,de Bundesliga,26-249,1995,10.4,2,12,4,33.3,1.16,0.39,0.17,0.50,12.7,0,0,0,1.3,1.3,0.10,+0.7,+0.7,Matchs
41,David Alaba\05439de2,at AUT,DF,Real Madrid,es La Liga,29-183,1992,16.9,1,12,1,8.3,0.71,0.06,0.08,1.00,21.5,4,0,0,0.6,0.6,0.05,+0.4,+0.4,Matchs
42,Sofiane Alakouch\5314e067,ma MAR,DFMT,Metz,fr Ligue 1,23-148,1998,1.8,0,1,0,0.0,0.57,0.00,0.00,,26.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matchs
43,Tomás Alarcón\99ea2ddd,cl CHI,MT,Cádiz,es La Liga,22-339,1999,11.7,0,12,1,8.3,1.02,0.09,0.00,0.00,22.9,0,0,0,1.0,1.0,0.08,-1.0,-1.0,Matchs
44,Lucas Alario\834d0be5,ar ARG,AT,Leverkusen,de Bundesliga,29-077,1992,2.1,0,4,1,25.0,1.95,0.49,0.00,0.00,11.2,0,0,1,1.4,0.6,0.15,-1.4,-0.6,Matchs
45,Jordi Alba\4601e194,es ESP,DF,Barcelona,es La Liga,32-278,1989,12.8,0,14,1,7.1,1.10,0.08,0.00,0.00,25.1,1,0,0,0.8,0.8,0.06,-0.8,-0.8,Matchs
46,Luis Alberto\5294a83f,es ESP,MT,Lazio,it Serie A,29-087,1992,12.1,3,21,7,33.3,1.74,0.58,0.14,0.43,20.2,1,0,0,1.3,1.3,0.06,+1.7,+1.7,Matchs
47,Raúl Albiol\4bd414c1,es ESP,DF,Villarreal,es La Liga,36-111,1985,13.0,0,1,1,100.0,0.08,0.08,0.00,0.00,7.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matchs
48,Marc Albrighton\b827d5b3,eng ENG,ATMT,Leicester City,eng Premier League,32-036,1989,3.5,1,1,1,100.0,0.28,0.28,1.00,1.00,17.2,0,0,0,0.0,0.0,0.04,+1.0,+1.0,Matchs
49,Paco Alcácer\a7a9d95a,es ESP,AT,Villarreal,es La Liga,28-116,1993,4.5,0,9,2,22.2,1.99,0.44,0.00,0.00,13.8,0,0,0,1.4,1.4,0.16,-1.4,-1.4,Matchs
50,Thiago Alcántara\77e84962,es ESP,MT,Liverpool,eng Premier League,30-257,1991,7.5,1,16,5,31.3,2.13,0.67,0.06,0.20,15.9,0,0,0,1.5,1.5,0.10,-0.5,-0.5,Matchs
51,Omar Alderete\bb08bce9,py PAR,DF,Valencia,es La Liga,24-363,1996,13.4,1,9,3,33.3,0.67,0.22,0.11,0.33,12.9,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matchs
52,Iván Alejo\3d7e48ce,es ESP,MT,Cádiz,es La Liga,26-317,1995,2.4,0,3,0,0.0,1.26,0.00,0.00,,28.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matchs
53,Carles Aleñá\6c811eb7,es ESP,MTAT,Getafe,es La Liga,23-353,1998,14.5,0,23,4,17.4,1.58,0.28,0.00,0.00,24.5,0,0,0,0.7,0.7,0.03,-0.7,-0.7,Matchs
54,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,eng Premier League,23-078,1998,15.7,2,28,10,35.7,1.78,0.64,0.07,0.20,21.6,3,0,0,1.8,1.8,0.07,+0.2,+0.2,Matchs
55,Mircea Alexandru Tirlea\683a1d81,ro ROU,DF,Alavés,es La Liga,21-271,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
56,Mohamed Ali Cho\f8405304,fr FRA,AT,Angers,fr Ligue 1,17-339,2004,12.9,2,28,10,35.7,2.17,0.77,0.07,0.20,13.9,0,0,0,4.6,4.6,0.17,-2.6,-2.6,Matchs
